AMER-CORP,AMERIC CORPORATION,,COMPSET1
AMER-GARA,AMERICAN GARAGE,,COMPSET1
AMER-GRAT,AMERICAN GRATING,,COMPSET1
AMER-INSU,AMERICAN INSULATED WIRE,,COMPSET1
AMER-LEWA,AMERICAN LEWA,,COMPSET1
AMER-LOCK,AMERICAN LOCK,,COMPSET1
AMER-MARS,AMERICAN MARSH,,COMPSET1
AMER-NEWL,"AMERICAN-NEWLONG, INC",,COMPSET1
AMER-PACK,AMERICAN PACKING & GASKET COMPANY,,COMPSET1
AMER-PLUM,AMERICAN PLUMBER,,COMPSET1
AMER-RADI,AMERICAN RADIONIC COMPANY,,COMPSET1
AMER-SENS,"AMERICAN SENSOR TECHNOLOGIES, INC (AST)",,COMPSET1
AMER-STAN,AMERICAN STANDARD,,COMPSET1
AMER-VACU,AMERICAN VACUUM,,COMPSET1
AMER-VALV,"AMERICAN VALVE, INC.",,COMPSET1
AMEREX,AMEREX,,COMPSET1
AMERI-CONV,"AMERICAN CONVEYOR GROUP (ACG), INC",,COMPSET1
AMERICAN,AMERICAN,,COMPSET1
AMERITOOL,AMERITOOL MANUFACTURING,,COMPSET1
AMERITROL,AMERITROL,,COMPSET1
AMETEK,AMETEK NATIONAL CONTROL CORP (NCC),,COMPSET1
AMFI-COMPANY,AMFI-COMPANY,,COMPSET1
AMI-BEAR,AMI BEARINGS,,COMPSET1
AMICO-ISG,AMICO-ISG,,COMPSET1
AMME-BELT,AMMERALL BELTECH,,COMPSET1
AMPHENOL,AMPHENOL,,COMPSET1
AMPR-INST,AMPROBE INSTRUMENTS,,COMPSET1
AMT,"AMT (AMERICAN MACHINE & TOOL CO,)",,COMPSET1
AMTREX,AMTREX,,COMPSET1
AMTROL,AMTROL,,COMPSET1
AMWAY,AMWAY,,COMPSET1
ANAL-DEVI,ANALOG DEVICES,,COMPSET1
ANCH-LAMI,ANCHOR LAMINA,,COMPSET1
ANCH-PACK,ANCHOR PACKING,,COMPSET1
ANCHOR,ANCHOR CHEMICAL CO.,,COMPSET1
ANDCO,ANDCO,,COMPSET1
ANDERSON,ANDERSON,,COMPSET1
ANDERTON,ANDERTON,,COMPSET1
ANDR-HVAC,ANDRE HVAC INT'L,,COMPSET1
ANDREWS,ANDREWS,,COMPSET1
ANFIELD,ANFIELD INDUSTRIES,,COMPSET1
ANGUS,ANGUS ELECTRONICS,,COMPSET1
ANSELL,ANSELL,,COMPSET1
ANSON,ANSON,,COMPSET1
ANTAIRA,ANTAIRA TECHNOLOGIES,,COMPSET1
ANTARES,ANTARES INSTRUMENTS,,COMPSET1
ANTECH,ANTECH,,COMPSET1
ANTON-PAAR,ANTON PAAR INSTRUMENTS,,COMPSET1
ANTU-CONT,ANTUNES CONTROLS,,COMPSET1
ANVER,ANVER,,COMPSET1
ANVI-INTE,ANVIL INT'L,,COMPSET1
ANYLOAD,ANYLOAD,,COMPSET1
AO-SMITH,A.O.SMITH,,COMPSET1
AOSAFETY,AOSAFETY,,COMPSET1
APACH,APACH,,COMPSET1
APC,AMERICAN POWER CONVERSION (APC),,COMPSET1
API-HEAT,API HEAT TRANSFER INC.,,COMPSET1
APOLLO,APOLLO VALVES,,COMPSET1
APPL-CONT,APPLIED CONTROLS INC,,COMPSET1
APPL-ELEC,APPLETON ELECTRIC,,COMPSET1
APPL-POLY,APPLIED POLYMER,,COMPSET1
APSCO,APSCO,,COMPSET1
AQUA-THERM,AQUA-THERM,,COMPSET1
AQUAMATIC,AQUAMATIC,,COMPSET1
