IKO_Import,IKO_JOBMATERIAL,AddChange,EN
JP_ORGID,JP_SITEID,JP_JPNUM,PLUSCREVNUM,ITEMNUM,ITEMQTY,ITEMSETID
IKO-CAD,GI,GIR6925PEMM,0,9095991,1,ITEMSET1
IKO-CAD,GI,GIR6925PEMM,0,9093730,1,ITEMSET1
IKO-CAD,GI,GIR6925PEMM,0,9093723,1,ITEMSET1
IKO-CAD,GI,GIR6925PEMM,0,9093722,1,ITEMSET1
IKO-CAD,GI,GIR6925PEMM,0,9100442,1,ITEMSET1
IKO-CAD,GI,GIR6925PEMM,0,9095991,1,ITEMSET1
IKO-CAD,GI,GIR6925PEMM,0,9093730,1,ITEMSET1
IKO-CAD,GI,GIR6925PEMM,0,9093723,1,ITEMSET1
IKO-CAD,GI,GIR6925PEMM,0,9093722,1,ITEMSET1
IKO-CAD,GI,GIR6801PEMM,0,9100442,1,ITEMSET1
IKO-CAD,GI,GIR6801PEMM,0,9095991,1,ITEMSET1
IKO-CAD,GI,GIR6801PEMM,0,9093730,1,ITEMSET1
IKO-CAD,GI,GIR6801PEMM,0,9093723,1,ITEMSET1
IKO-CAD,GI,GIR6801PEMM,0,9093722,1,ITEMSET1
IKO-CAD,GI,GIR6801PEMM,0,9100442,1,ITEMSET1
IKO-CAD,GI,GIR6801PEMM,0,9095991,1,ITEMSET1
IKO-CAD,GI,GIR6801PEMM,0,9093730,1,ITEMSET1
IKO-CAD,GI,GIR6801PEMM,0,9093723,1,ITEMSET1
IKO-CAD,GI,GIR6801PEMM,0,9093722,1,ITEMSET1
IKO-CAD,GI,GIR1110Y1PPMM,0,9038800,205,ITEMSET1
IKO-CAD,GI,GIR1110Y1PPMM,0,9045129,1,ITEMSET1
IKO-CAD,GI,GIR1110Y1PPMM,0,9045130,1,ITEMSET1
IKO-CAD,GI,GIR1110Y1PPMM,0,9057876,1,ITEMSET1
IKO-CAD,GI,GIR6686PEMM,0,9095991,1,ITEMSET1
IKO-CAD,GI,GIR6686PEMM,0,9093730,1,ITEMSET1
IKO-CAD,GI,GIR6686PEMM,0,9093723,1,ITEMSET1
IKO-CAD,GI,GIR6686PEMM,0,9093722,1,ITEMSET1
IKO-CAD,GI,GIR6686PEMM,0,9100442,1,ITEMSET1
IKO-CAD,GI,GIR6686PEMM,0,9095991,1,ITEMSET1
IKO-CAD,GI,GIR6686PEMM,0,9093730,1,ITEMSET1
IKO-CAD,GI,GIR6686PEMM,0,9093723,1,ITEMSET1
IKO-CAD,GI,GIR6686PEMM,0,9093722,1,ITEMSET1
IKO-CAD,GI,GIR6686PEMM,0,9100442,1,ITEMSET1
IKO-CAD,GI,GIR6545PEMM,0,9045454,1,ITEMSET1
IKO-CAD,GI,GIR6545PEMM,0,9051298,1,ITEMSET1
IKO-CAD,GI,GIR6545PEMM,0,9049925,1,ITEMSET1
IKO-CAD,GI,GIR6545PEMM,0,9049921,1,ITEMSET1
IKO-CAD,GI,GIR6545PEMM,0,9045448,1,ITEMSET1
IKO-CAD,GI,GIR6535PEMM,0,9045454,1,ITEMSET1
IKO-CAD,GI,GIR6535PEMM,0,9051298,1,ITEMSET1
IKO-CAD,GI,GIR6535PEMM,0,9049925,1,ITEMSET1
IKO-CAD,GI,GIR6535PEMM,0,9049921,1,ITEMSET1
IKO-CAD,GI,GIR6535PEMM,0,9045448,1,ITEMSET1
IKO-CAD,GI,GIR6930PEMM1,0,9093722,2,ITEMSET1
IKO-CAD,GI,GIR6930PEMM1,0,9093723,2,ITEMSET1
IKO-CAD,GI,GIR6930PEMM1,0,9093730,2,ITEMSET1
IKO-CAD,GI,GIR6930PEMM1,0,9095991,2,ITEMSET1
IKO-CAD,GI,GIR6930PEMM1,0,9100442,2,ITEMSET1
IKO-CAD,GI,GIR7744PEMM1,0,9046694,1,ITEMSET1
IKO-CAD,GI,GIR7740PEMM1,0,9046693,1,ITEMSET1
IKO-CAD,GI,GIR7736PEMM1,0,9046574,1,ITEMSET1
IKO-CAD,GI,GIR7748PEMM1,0,9046694,1,ITEMSET1
IKO-CAD,GI,GIR2200Y1PPMM,0,9038800,205,ITEMSET1
IKO-CAD,GI,GIR2200Y1PPMM,0,9039054,1,ITEMSET1
IKO-CAD,GI,GIR2200Y1PPMM,0,9045590,1,ITEMSET1
IKO-CAD,GI,GIR2200Y1PPMM,0,9062570,1,ITEMSET1
IKO-CAD,GI,GIR2200Y1PPMM,0,9062571,1,ITEMSET1
IKO-CAD,GI,GIR2200Y1PPMM,0,9070330,1,ITEMSET1
IKO-CAD,GI,GIR2200Y1PPMM,0,9095972,1,ITEMSET1
IKO-CAD,GI,GIA0001Y1LUBM,0,9057891,1,ITEMSET1
IKO-CAD,GI,GIA0001Y1LUBM,0,9057876,1,ITEMSET1
IKO-CAD,GI,GIA0001Y1LUBM,0,9043760,1,ITEMSET1
IKO-CAD,GI,GIA0001Y1LUBM,0,9043859,1,ITEMSET1
IKO-CAD,GI,GIA0001Y1LUBM,0,9043859,1,ITEMSET1
IKO-CAD,GI,GIA0001Y1LUBM,0,9043859,1,ITEMSET1
IKO-CAD,GI,GIA0001Y1LUBM,0,9057876,1,ITEMSET1
IKO-CAD,GI,GIA0001Y1LUBM,0,9057876,1,ITEMSET1
IKO-CAD,GI,GIA0001Y1LUBM,0,9057876,1,ITEMSET1
IKO-CAD,GI,GIA0001Y1LUBM,0,9057876,1,ITEMSET1
IKO-CAD,GI,GIA0001Y1LUBM,0,9057891,1,ITEMSET1
