FC0133,"Sheet Puller, FPL Sheet, FPL"
FC0134,"Slate Drum, Granuled Sheet, Slating System"
FC0135,"Soap Applicator, Sealed Laminated Sheet, Laminate Section"
FC0136,"Soap Piping System, Soap Water, Laminate Section"
FC0137,"Soap Tote, Soap Water, Laminate Section"
FC0138,"Spill Hopper, Granule Blend, Granule Application"
FC0139,"Splicing Machine, Spliced Sheet, DMA"
FC0140,"Splicing Table, Spliced Sheet, DMA"
FC0141,"Spray Bars, Cooled Sheet, Cooling Section"
FC0142,"Spray System, Water, Laminate Section"
FC0143,"Staging Conveyor, 3TAB Bundle, 3 Tab Bundle Handling"
FC0144,"Staging Conveyor, Laminate Bundle, Laminate Bundle Handling"
FC0145,"Staging Conveyor, Shingle Bundle, Lug System"
FC0146,"Storage Tank, Paint, Laminate Section"
FC0147,"Tank Agitator, Paint, Laminate Section"
FC0148,"Tank, Soap Water, 3 Tab Section"
FC0149,"Timing Conveyor, Belt, Laminate Bundle, Laminate Bundle Handling"
FC0150,"Timing Conveyor, Belt, 3TAB Bundle, 3 Tab Bundle Handling"
FC0151,"Timing Conveyor, Belt, Shingle Bundle, Lug System"
FC0152,"Transport Roll, Granuled Sheet, Slating System"
FC0153,"Tunnel, Sealed Shingle Bundle, Wrapper"
FC0154,"Turndown Roll, Granuled Sheet, Slating System"
FC0155,"Unwind Stand, Fiberglass Sheet, DMA"
FC0156,"Water Spray, Soap Water, 3 Tab Section"
FC0157,"Water Spray, Water, 3 Tab Section"
FC0158,"Water Spray, Water, CTL"
FC0159,"Weigh Scale, Granule Blend, Reclaim System"
FC0160,Winding Core Dispenser (Table)
FC0161,Winding Roll Receiving Table (Lifts to Extract Roll)
,
