C0545,Steam Boiler Building HVAC / Heating,http://operations.connect.na.local/support/Reliability/IKOSumas/Sumas Asset Documents/C0530 Oxidizer_Control Building.pdf,,C0530 Oxidizer_Control Building.pdf
C0545,Steam Boiler Building HVAC / Heating,http://operations.connect.na.local/support/Reliability/IKOSumas/Sumas Asset Documents/C0542 Steam Boliler Building.pdf,,C0542 Steam Boliler Building.pdf
C0546,Steam Boiler Building / Locks / Security,http://operations.connect.na.local/support/Reliability/IKOSumas/Sumas Asset Documents/C0530 Oxidizer_Control Building.pdf,,C0530 Oxidizer_Control Building.pdf
C0546,Steam Boiler Building Doors / Locks / Security,http://operations.connect.na.local/support/Reliability/IKOSumas/Sumas Asset Documents/C0542 Steam Boliler Building.pdf,,C0542 Steam Boliler Building.pdf
C0641,Finished Product Warehouse Racking,http://operations.connect.na.local/support/Reliability/IKOSumas/Sumas Asset Documents/C0638 Warehouse System.pdf,,C0638 Warehouse System.pdf
C0642,Finished Product Warehouse Roof,http://operations.connect.na.local/support/Reliability/IKOSumas/Sumas Asset Documents/C0638 Warehouse System.pdf,,C0638 Warehouse System.pdf
C0643,Finished Product Warehouse Electrical / Lighting,http://operations.connect.na.local/support/Reliability/IKOSumas/Sumas Asset Documents/C0638 Warehouse System.pdf,,C0638 Warehouse System.pdf
C0644,Finished Product Warehouse Doors / Docks,http://operations.connect.na.local/support/Reliability/IKOSumas/Sumas Asset Documents/C0638 Warehouse System.pdf,,C0638 Warehouse System.pdf
C0645,Pallet Wrapping Machine System,http://operations.connect.na.local/support/Reliability/IKOSumas/Sumas Asset Documents/C0638 Warehouse System.pdf,,C0638 Warehouse System.pdf
C0662,Fiberglass Warehouse Racking,http://operations.connect.na.local/support/Reliability/IKOSumas/Sumas Asset Documents/C0638 Warehouse System.pdf,,C0638 Warehouse System.pdf
C0663,Fiberglass Warehouse Roof,http://operations.connect.na.local/support/Reliability/IKOSumas/Sumas Asset Documents/C0638 Warehouse System.pdf,,C0638 Warehouse System.pdf
C0664,Fiberglass Warehouse Electrical / Lighting,http://operations.connect.na.local/support/Reliability/IKOSumas/Sumas Asset Documents/C0638 Warehouse System.pdf,,C0638 Warehouse System.pdf
C0665,Fiberglass Warehouse Doors / Docks,http://operations.connect.na.local/support/Reliability/IKOSumas/Sumas Asset Documents/C0638 Warehouse System.pdf,,C0638 Warehouse System.pdf
C0763,Crusher Control Room Structure,http://operations.connect.na.local/support/Reliability/IKOSumas/Sumas Asset Documents/C0760 Crusher Buildings.pdf,,C0760 Crusher Buildings.pdf
C0765,Crusher Control Room Electrical/Lighting,http://operations.connect.na.local/support/Reliability/IKOSumas/Sumas Asset Documents/C0760 Crusher Buildings.pdf,,C0760 Crusher Buildings.pdf
C0767,Crusher Control Room HVAC/Heating,http://operations.connect.na.local/support/Reliability/IKOSumas/Sumas Asset Documents/C0760 Crusher Buildings.pdf,,C0760 Crusher Buildings.pdf
C0769,Crusher Control Room Stairs/Ladders,http://operations.connect.na.local/support/Reliability/IKOSumas/Sumas Asset Documents/C0760 Crusher Buildings.pdf,,C0760 Crusher Buildings.pdf
C0771,Crusher Control Room Doors/Locks/Security,http://operations.connect.na.local/support/Reliability/IKOSumas/Sumas Asset Documents/C0760 Crusher Buildings.pdf,,C0760 Crusher Buildings.pdf
C0811,Crusher Electrical Building Structure,http://operations.connect.na.local/support/Reliability/IKOSumas/Sumas Asset Documents/C0760 Crusher Buildings.pdf,,C0760 Crusher Buildings.pdf
C0813,Crusher Electrical Building Electrical/Lighting,http://operations.connect.na.local/support/Reliability/IKOSumas/Sumas Asset Documents/C0760 Crusher Buildings.pdf,,C0760 Crusher Buildings.pdf
C0815,Crusher Electrical BuildingHVAC/Heating/Exhaust Fans,http://operations.connect.na.local/support/Reliability/IKOSumas/Sumas Asset Documents/C0760 Crusher Buildings.pdf,,C0760 Crusher Buildings.pdf
C0817,Crusher Electrical Building Doors/Locks/Security,http://operations.connect.na.local/support/Reliability/IKOSumas/Sumas Asset Documents/C0760 Crusher Buildings.pdf,,C0760 Crusher Buildings.pdf
C0961,Propane Storage Cage,http://operations.connect.na.local/support/Reliability/IKOSumas/Sumas Asset Documents/C0960 Plant Utility Building.pdf,,C0960 Plant Utility Building.pdf
C0968,Document Storage,http://operations.connect.na.local/support/Reliability/IKOSumas/Sumas Asset Documents/C0960 Plant Utility Building.pdf,,C0960 Plant Utility Building.pdf
C1057,Wrappers Monorail Hoist,http://operations.connect.na.local/support/Reliability/IKOSumas/Sumas Asset Documents/C1050 Overhead Cranes Hoists.pdf,,C1050 Overhead Cranes Hoists.pdf
C1060,Laminator Overhead Crane,http://operations.connect.na.local/support/Reliability/IKOSumas/Sumas Asset Documents/C1050 Overhead Cranes Hoists.pdf,,C1050 Overhead Cranes Hoists.pdf
