C1101,"Maintenance Shop Hoist (Mobile, OMA587 v. .G65684T, 1000kg)",http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/Overhead_Cranes_Hoists_Assets.pdf,,Overhead_Cranes_Hoists_Assets.pdf
C1102,"Maintenance Shop Hoist (Hand lever, v.. 46291, 5000kg)",http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/Overhead_Cranes_Hoists_Assets.pdf,,Overhead_Cranes_Hoists_Assets.pdf
C1131,Lift Device (MSAC Applicator),http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/Overhead_Cranes_Hoists_Assets.pdf,,Overhead_Cranes_Hoists_Assets.pdf
C1132,"Lift Device (at Maintenance Shop, for Cutters)",http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/Overhead_Cranes_Hoists_Assets.pdf,,Overhead_Cranes_Hoists_Assets.pdf
C1501,Server Farm,"http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/Alarms,_Telecommunications_and_Network_Systems.pdf",,"Alarms,_Telecommunications_and_Network_Systems.pdf"
C1502,Sprinkler Security System,http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/Common_Resources_Assets.pdf,,Common_Resources_Assets.pdf
C1502,Sprinkler Security System,"http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/Alarms,_Telecommunications_and_Network_Systems.pdf",,"Alarms,_Telecommunications_and_Network_Systems.pdf"
C1503,Security System,"http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/Alarms,_Telecommunications_and_Network_Systems.pdf",,"Alarms,_Telecommunications_and_Network_Systems.pdf"
C1504,Fire Alarm Security System,"http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/Alarms,_Telecommunications_and_Network_Systems.pdf",,"Alarms,_Telecommunications_and_Network_Systems.pdf"
C1506,Desktop PC's,"http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/Alarms,_Telecommunications_and_Network_Systems.pdf",,"Alarms,_Telecommunications_and_Network_Systems.pdf"
C1511,Network Equipment,"http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/Alarms,_Telecommunications_and_Network_Systems.pdf",,"Alarms,_Telecommunications_and_Network_Systems.pdf"
C1516,Telephones & Telephone Systems,"http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/Alarms,_Telecommunications_and_Network_Systems.pdf",,"Alarms,_Telecommunications_and_Network_Systems.pdf"
C1520,Shingle Manufacturing Camera System,"http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/Alarms,_Telecommunications_and_Network_Systems.pdf",,"Alarms,_Telecommunications_and_Network_Systems.pdf"
C1520,Shingle Manufacturing Camera System,http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/Common_Equipment_Systems_Assets.pdf,,Common_Equipment_Systems_Assets.pdf
C1710,CS Water Softener / Conditioner System,http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/COOLING_SECTION.pdf,,COOLING_SECTION.pdf
C1710,CS Water Softener / Conditioner System,http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/COOLING_WATER-Scheme.pdf,,COOLING_WATER-Scheme.pdf
C1720,CS Spray Water Tank,http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/COOLING_SECTION.pdf,,COOLING_SECTION.pdf
C1720,CS Spray Water Tank,http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/COOLING_WATER-Scheme.pdf,,COOLING_WATER-Scheme.pdf
C1730,CS Spray Water Tank Pump,http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/COOLING_SECTION.pdf,,COOLING_SECTION.pdf
C1730,CS Spray Water Tank Pump,http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/COOLING_WATER-Scheme.pdf,,COOLING_WATER-Scheme.pdf
C1740,CS Spray Water Filters,http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/COOLING_SECTION.pdf,,COOLING_SECTION.pdf
C1740,CS Spray Water Filters,http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/COOLING_WATER-Scheme.pdf,,COOLING_WATER-Scheme.pdf
C1750,CS Water Spray Piping System (Distribution Header),http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/COOLING_SECTION.pdf,,COOLING_SECTION.pdf
C1750,CS Water Spray Piping System (Distribution Header),http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/COOLING_WATER-Scheme.pdf,,COOLING_WATER-Scheme.pdf
C1770,CS Water Pit Pump,http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/COOLING_WATER-Scheme.pdf,,COOLING_WATER-Scheme.pdf
C1799,CS Dredger (Clarifier),http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/COOLING_SECTION.pdf,,COOLING_SECTION.pdf
C1799,CS Dredger (Clarifier),http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/COOLING_WATER-Scheme.pdf,,COOLING_WATER-Scheme.pdf
C1820,CS Dredger Pump,http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/COOLING_SECTION.pdf,,COOLING_SECTION.pdf
C1820,CS Dredger Pump,http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/COOLING_WATER-Scheme.pdf,,COOLING_WATER-Scheme.pdf
C1900,"CS Cooling Tower Transfer Pump (15Kw,21M02-M0002)",http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/COOLING_SECTION.pdf,,COOLING_SECTION.pdf
C1900,"CS Cooling Tower Transfer Pump (15Kw,21M02-M0002)",http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/COOLING_WATER-Scheme.pdf,,COOLING_WATER-Scheme.pdf
C1905,CS Roll Pump (P703.02A),http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/COOLING_WATER-Scheme.pdf,,COOLING_WATER-Scheme.pdf
C1910,CS Cooling Tower System,http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/COOLING_SECTION.pdf,,COOLING_SECTION.pdf
C1910,CS Cooling Tower System,http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/COOLING_WATER-Scheme.pdf,,COOLING_WATER-Scheme.pdf
C1930,"CS Water Supply Tank (Sediment,Upper)",http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/COOLING_SECTION.pdf,,COOLING_SECTION.pdf
C1930,"CS Water Supply Tank (Sediment,Upper)",http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/COOLING_WATER-Scheme.pdf,,COOLING_WATER-Scheme.pdf
C1931,"CS Water Supply Tank (Clean,Lower)",http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/COOLING_SECTION.pdf,,COOLING_SECTION.pdf
C1931,"CS Water Supply Tank (Clean,Lower)",http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/COOLING_WATER-Scheme.pdf,,COOLING_WATER-Scheme.pdf
C1982,Pattern Cutter Sump Pump,http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/COOLING_WATER-Scheme.pdf,,COOLING_WATER-Scheme.pdf
C1984,CTL Cutter Sump Pump,http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/COOLING_WATER-Scheme.pdf,,COOLING_WATER-Scheme.pdf
C1986,3 Tab Cutter Sump Pump,http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/COOLING_WATER-Scheme.pdf,,COOLING_WATER-Scheme.pdf
C1990,CS Water Piping System,http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/COOLING_SECTION.pdf,,COOLING_SECTION.pdf
C1990,CS Water Piping System,http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/COOLING_WATER-Scheme.pdf,,COOLING_WATER-Scheme.pdf
C2003,HOS Heater #1 (B704.01a),http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/Hot_Oil_Building.pdf,,Hot_Oil_Building.pdf
C2003,HOS Heater #1 (B704.01a),http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/Hot_Oil_SYSTEMS.pdf,,Hot_Oil_SYSTEMS.pdf
C2003,HOS Heater #1 (B704.01a),http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/Hot_Oil_boiler_room.pdf,,Hot_Oil_boiler_room.pdf
C2005,HOS Heater #2 (B704.01b),http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/Hot_Oil_Building.pdf,,Hot_Oil_Building.pdf
C2005,HOS Heater #2 (B704.01b),http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/Hot_Oil_boiler_room.pdf,,Hot_Oil_boiler_room.pdf
C2010,HOS Oil Storage Tank,http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/Hot_Oil_Building.pdf,,Hot_Oil_Building.pdf
C2010,HOS Oil Storage Tank,http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/Hot_Oil_boiler_room.pdf,,Hot_Oil_boiler_room.pdf
C2015,HOS #1 Transfer Pump System,http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/Hot_Oil_SYSTEMS.pdf,,Hot_Oil_SYSTEMS.pdf
C2015,HOS #1 Transfer Pump System,http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/Hot_Oil_boiler_room.pdf,,Hot_Oil_boiler_room.pdf
C2020,HOS Expansion Tank (T704.02),http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/Hot_Oil_boiler_room.pdf,,Hot_Oil_boiler_room.pdf
C2030,HOS Circulation Pump 1 (North),http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/Hot_Oil_Building.pdf,,Hot_Oil_Building.pdf
C2030,HOS Circulation Pump 1 (North),http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/Coating_and_Self_Adhesive.pdf,,Coating_and_Self_Adhesive.pdf
C2030,HOS Circulation Pump 1 (North),http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/Hot_Oil_boiler_room.pdf,,Hot_Oil_boiler_room.pdf
C2031,HOS Circulation Pump 2 (Middle),http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/Hot_Oil_Building.pdf,,Hot_Oil_Building.pdf
C2031,HOS Circulation Pump 2 (Middle),http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/Coating_and_Self_Adhesive.pdf,,Coating_and_Self_Adhesive.pdf
C2031,HOS Circulation Pump 2 (Middle),http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/Hot_Oil_boiler_room.pdf,,Hot_Oil_boiler_room.pdf
C2032,HOS Circulation Pump 3 (South),http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/Hot_Oil_Building.pdf,,Hot_Oil_Building.pdf
C2032,HOS Circulation Pump 3 (South),http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/Coating_and_Self_Adhesive.pdf,,Coating_and_Self_Adhesive.pdf
C2032,HOS Circulation Pump 3 (South),http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/Hot_Oil_boiler_room.pdf,,Hot_Oil_boiler_room.pdf
C2035,HOS Booster Pump (P704.01a),http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/Hot_Oil_boiler_room.pdf,,Hot_Oil_boiler_room.pdf
C2036,HOS Booster Pump (P704.01b),http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/Hot_Oil_boiler_room.pdf,,Hot_Oil_boiler_room.pdf
C2037,HOS Booster Pump (P704.04a),http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/Hot_Oil_boiler_room.pdf,,Hot_Oil_boiler_room.pdf
C2038,HOS Booster Pump (P704.04b),http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/Hot_Oil_boiler_room.pdf,,Hot_Oil_boiler_room.pdf
C2040,HOS Piping System Zone 1 (Rail Unloading Piping),http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/Hot_Oil_SYSTEMS.pdf,,Hot_Oil_SYSTEMS.pdf
C2041,HOS Piping System Zone 2 (Storage Tanks Piping),http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/Hot_Oil_SYSTEMS.pdf,,Hot_Oil_SYSTEMS.pdf
C2042,HOS Piping System Zone 3 (Production Line Piping),http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/Hot_Oil_SYSTEMS.pdf,,Hot_Oil_SYSTEMS.pdf
C2043,HOS Piping System Zone 4 (Truck Unloading Piping),http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/Hot_Oil_SYSTEMS.pdf,,Hot_Oil_SYSTEMS.pdf
C2044,HOS Piping System Zone 5 (Asphalt Circulating/Transfer Piping),http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/Hot_Oil_SYSTEMS.pdf,,Hot_Oil_SYSTEMS.pdf
C2045,"HOS Piping System Zone 6 (Hot Oil Room -Pressure Regulator, Hot Oil Header)",http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/Hot_Oil_SYSTEMS.pdf,,Hot_Oil_SYSTEMS.pdf
C2046,HOS Piping System Zone 7 (Asphalt Tanks),http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/Hot_Oil_SYSTEMS.pdf,,Hot_Oil_SYSTEMS.pdf
C2047,HOS Piping System Zone 8 (Filler Heater),http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/Hot_Oil_SYSTEMS.pdf,,Hot_Oil_SYSTEMS.pdf
C2048,HOS Piping System Zone 9 (Coater and Surge Tank),http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/Hot_Oil_SYSTEMS.pdf,,Hot_Oil_SYSTEMS.pdf
C2049,HOS Piping System Zone 10 (Adhesive Mixing Tanks and Pans),http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/Hot_Oil_SYSTEMS.pdf,,Hot_Oil_SYSTEMS.pdf
C2050,HOS Piping System Zone 11 (3 Tab),http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/Hot_Oil_SYSTEMS.pdf,,Hot_Oil_SYSTEMS.pdf
C2054,"HOS Booster Pump (P704.05a, under Filler Tower)",http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/Coating_and_Self_Adhesive.pdf,,Coating_and_Self_Adhesive.pdf
C2054,"HOS Booster Pump (P704.05a, under Filler Tower)",http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/Hot_Oil_SYSTEMS.pdf,,Hot_Oil_SYSTEMS.pdf
C2055,"HOS Booster Pump (P704.05b, under Filler Tower)",http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/Coating_and_Self_Adhesive.pdf,,Coating_and_Self_Adhesive.pdf
C2055,"HOS Booster Pump (P704.05b, under Filler Tower)",http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/Hot_Oil_SYSTEMS.pdf,,Hot_Oil_SYSTEMS.pdf
C3002,"CAGS #1 Air Compressor #01 (Atlas Copco, 27M10)",http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/Compressed_Air_Machinery.pdf,,Compressed_Air_Machinery.pdf
