C0886,Roof Top Unit (RTU) Wrapper Air Conditioning,http://operations.connect.na.local/support/Reliability/IKOWilmington/PlantAssetDocs/Heating_Air_Conditioning_Roof_Top_Unit.pdf,,Heating_Air_Conditioning_Roof_Top_Unit.pdf,,,,,
C0887,Roof Top Unit (RTU) ECR 1-4 Air Conditioning,http://operations.connect.na.local/support/Reliability/IKOWilmington/PlantAssetDocs/Heating_Air_Conditioning_Roof_Top_Unit.pdf,,Heating_Air_Conditioning_Roof_Top_Unit.pdf,,,,,
C0888,Roof Top Unit (RTU) Offices Air Conditioning,http://operations.connect.na.local/support/Reliability/IKOWilmington/PlantAssetDocs/Heating_Air_Conditioning_Roof_Top_Unit.pdf,,Heating_Air_Conditioning_Roof_Top_Unit.pdf,,,,,
C0889,Roof Top Unit (RTU) Lunch Room Air Conditioning,http://operations.connect.na.local/support/Reliability/IKOWilmington/PlantAssetDocs/Heating_Air_Conditioning_Roof_Top_Unit.pdf,,Heating_Air_Conditioning_Roof_Top_Unit.pdf,,,,,
C0961,Propane Storage Cage,http://operations.connect.na.local/support/Reliability/IKOWilmington/PlantAssetDocs/Plant_Utility_Building.pdf,,Plant_Utility_Building.pdf,,,,,
C1100,Rail and Auto Hoist 1 (Above Welders),http://operations.connect.na.local/support/Reliability/IKOWilmington/PlantAssetDocs/Cranes_And_Hoists.pdf,,Cranes_And_Hoists.pdf,,,,,
C1101,Rail and Auto Hoist 2 (Above Lathe),http://operations.connect.na.local/support/Reliability/IKOWilmington/PlantAssetDocs/Cranes_And_Hoists.pdf,,Cranes_And_Hoists.pdf,,,,,
C1161,Rail and Auto Hoist 3 (Above Pattern Cutter),http://operations.connect.na.local/support/Reliability/IKOWilmington/PlantAssetDocs/Cranes_And_Hoists.pdf,,Cranes_And_Hoists.pdf,,,,,
C1162,Rail and Auto Hoist 4 (Above Wrapper Unwind Stand),http://operations.connect.na.local/support/Reliability/IKOWilmington/PlantAssetDocs/Cranes_And_Hoists.pdf,,Cranes_And_Hoists.pdf,,,,,
C1163,Rail and Manual Hoist 6 (Behind Coater Horizontal Mixer Platform),http://operations.connect.na.local/support/Reliability/IKOWilmington/PlantAssetDocs/Cranes_And_Hoists.pdf,,Cranes_And_Hoists.pdf,,,,,
C1164,Rail and Manual Hoist 8 (Behind Coater Horizontal Mixer Platform),http://operations.connect.na.local/support/Reliability/IKOWilmington/PlantAssetDocs/Cranes_And_Hoists.pdf,,Cranes_And_Hoists.pdf,,,,,
C1165,Rail and Manual Hoist 9 (Behind Cooling Section),http://operations.connect.na.local/support/Reliability/IKOWilmington/PlantAssetDocs/Cranes_And_Hoists.pdf,,Cranes_And_Hoists.pdf,,,,,
C1166,Rail and Manual Hoist 10 (Behind Coater Horizontal Mixer Platform),http://operations.connect.na.local/support/Reliability/IKOWilmington/PlantAssetDocs/Cranes_And_Hoists.pdf,,Cranes_And_Hoists.pdf,,,,,
C1167,Manual Hoist 11 (Behind Coater Weir Tank Assembly),http://operations.connect.na.local/support/Reliability/IKOWilmington/PlantAssetDocs/Cranes_And_Hoists.pdf,,Cranes_And_Hoists.pdf,,,,,
C1168,Manual Hoist 12 (Behind Coater Near Weir Tank),http://operations.connect.na.local/support/Reliability/IKOWilmington/PlantAssetDocs/Cranes_And_Hoists.pdf,,Cranes_And_Hoists.pdf,,,,,
C1169,Manual Hoist and Trolley 13 (Curved Rail Above Cooling Section),http://operations.connect.na.local/support/Reliability/IKOWilmington/PlantAssetDocs/Cranes_And_Hoists.pdf,,Cranes_And_Hoists.pdf,,,,,
C1170,Rail and Manual Hoist 14 (Behind Cooling Section Angled),http://operations.connect.na.local/support/Reliability/IKOWilmington/PlantAssetDocs/Cranes_And_Hoists.pdf,,Cranes_And_Hoists.pdf,,,,,
C1171,Manual Hoist 15 (Flux Tank),http://operations.connect.na.local/support/Reliability/IKOWilmington/PlantAssetDocs/Cranes_And_Hoists.pdf,,Cranes_And_Hoists.pdf,,,,,
C1172,Rail and Hoist 17 (Small CVM Laminator),http://operations.connect.na.local/support/Reliability/IKOWilmington/PlantAssetDocs/Cranes_And_Hoists.pdf,,Cranes_And_Hoists.pdf,,,,,
C1173,Rail and Hoist 18 (SBS Mix and Other Tanks Laminator),http://operations.connect.na.local/support/Reliability/IKOWilmington/PlantAssetDocs/Cranes_And_Hoists.pdf,,Cranes_And_Hoists.pdf,,,,,
C1174,Hoist 19 (Temp Behind Coater Horizontal Mixer Platform),http://operations.connect.na.local/support/Reliability/IKOWilmington/PlantAssetDocs/Cranes_And_Hoists.pdf,,Cranes_And_Hoists.pdf,,,,,
C1181,Rail and Trolley 5 (Above Large CVM),http://operations.connect.na.local/support/Reliability/IKOWilmington/PlantAssetDocs/Cranes_And_Hoists.pdf,,Cranes_And_Hoists.pdf,,,,,
C1182,Rail and Trolley 7 (Top of Oxidizer Tank),http://operations.connect.na.local/support/Reliability/IKOWilmington/PlantAssetDocs/Cranes_And_Hoists.pdf,,Cranes_And_Hoists.pdf,,,,,
